Test Epoch 1, Loss: 3.0587, Accuracy: 0.1584
Test Epoch 2, Loss: 1.1771, Accuracy: 0.3310
Test Epoch 3, Loss: 0.7010, Accuracy: 0.3987
Test Epoch 4, Loss: 0.5178, Accuracy: 0.4501
Test Epoch 5, Loss: 0.4530, Accuracy: 0.4997
Test Epoch 6, Loss: 0.3388, Accuracy: 0.5498
Test Epoch 7, Loss: 0.2603, Accuracy: 0.5916
Test Epoch 8, Loss: 0.3032, Accuracy: 0.6411
Test Epoch 9, Loss: 0.2257, Accuracy: 0.6887
Test Epoch 10, Loss: 0.2376, Accuracy: 0.7258
Test Epoch 11, Loss: 0.2228, Accuracy: 0.6907
Test Epoch 12, Loss: 0.2122, Accuracy: 0.7681
Test Epoch 13, Loss: 0.1896, Accuracy: 0.7649
Test Epoch 14, Loss: 0.1140, Accuracy: 0.7843
Test Epoch 15, Loss: 0.1383, Accuracy: 0.7948
Test Epoch 16, Loss: 0.1157, Accuracy: 0.8306
Test Epoch 17, Loss: 0.1318, Accuracy: 0.8514
Test Epoch 18, Loss: 0.1282, Accuracy: 0.8488
Test Epoch 19, Loss: 0.1114, Accuracy: 0.8620
Test Epoch 20, Loss: 0.1194, Accuracy: 0.8469
Test Epoch 21, Loss: 0.1455, Accuracy: 0.8358
Test Epoch 22, Loss: 0.2001, Accuracy: 0.8566
Test Epoch 23, Loss: 0.1306, Accuracy: 0.8866
Test Epoch 24, Loss: 0.1274, Accuracy: 0.8508
Test Epoch 25, Loss: 0.1828, Accuracy: 0.8416
Test Epoch 26, Loss: 0.1365, Accuracy: 0.8931
Test Epoch 27, Loss: 0.0931, Accuracy: 0.9180
Test Epoch 28, Loss: 0.1260, Accuracy: 0.9180
Test Epoch 29, Loss: 0.1227, Accuracy: 0.8834
Test Epoch 30, Loss: 0.1242, Accuracy: 0.9094
Test Epoch 31, Loss: 0.1211, Accuracy: 0.8801
Test Epoch 32, Loss: 0.1249, Accuracy: 0.9016
Test Epoch 33, Loss: 0.1403, Accuracy: 0.8872
Test Epoch 34, Loss: 0.2776, Accuracy: 0.7863
Test Epoch 35, Loss: 0.1131, Accuracy: 0.9159
Test Epoch 36, Loss: 0.1923, Accuracy: 0.9036
Test Epoch 37, Loss: 0.1228, Accuracy: 0.8938
Test Epoch 38, Loss: 0.0873, Accuracy: 0.8924
Test Epoch 39, Loss: 0.1529, Accuracy: 0.8352
Test Epoch 40, Loss: 0.1055, Accuracy: 0.9023
Test Epoch 41, Loss: 0.1557, Accuracy: 0.9245
Test Epoch 42, Loss: 0.1057, Accuracy: 0.9297
Test Epoch 43, Loss: 0.1419, Accuracy: 0.7969
Test Epoch 44, Loss: 0.1049, Accuracy: 0.9100
Test Epoch 45, Loss: 0.2016, Accuracy: 0.9126
Test Epoch 46, Loss: 0.1577, Accuracy: 0.8736
Test Epoch 47, Loss: 0.1403, Accuracy: 0.9081
Test Epoch 48, Loss: 0.0868, Accuracy: 0.9485
Test Epoch 49, Loss: 0.1247, Accuracy: 0.9401
Test Epoch 50, Loss: 0.0758, Accuracy: 0.9479
Test Result, Loss: 0.2107, Accuracy: 0.9297
